price	year	manufacturer	condition	cylinders	odometer	transmission	state	fuel	size
2500	2008	toyota	like new	4 cylinders	155068	automatic	nj	gas	compact
33999	2016	ford	excellent	8 cylinders	63206	automatic	mn	gas	full-size
32000	2017	dodge	excellent	8 cylinders	54000	automatic	mi	gas	mid-size
38990	2016	mitsubishi	good	4 cylinders	33474	automatic	ok	diesel	full-size
8995	2008	infiniti	like new	6 cylinders	126000	automatic	oh	gas	full-size
21499	2019	nissan	good	4 cylinders	39650	automatic	co	gas	full-size
6000	2012	kia	excellent	4 cylinders	107070	manual	nm	gas	full-size
15995	2013	gmc	like new	8 cylinders	141866	automatic	ny	gas	full-size
6500	2011	nissan	excellent	4 cylinders	130000	automatic	ri	gas	mid-size
3100	2003	kia	good	6 cylinders	207	automatic	tn	gas	full-size
11998	2017	nissan	good	other	37141	automatic	vt	electric	compact
8500	2004	toyota	good	8 cylinders	226000	automatic	ks	gas	full-size
23990	2016	ford	excellent	8 cylinders	161560	automatic	mn	gas	full-size
4500	2014	chevrolet	excellent	4 cylinders	200000	automatic	tx	gas	compact
6995	2006	ford	excellent	8 cylinders	151000	automatic	id	gas	full-size
15500	1948	ford	good	8 cylinders	20000	automatic	fl	gas	full-size
7800	2015	nissan	like new	4 cylinders	104310	automatic	nj	gas	full-size
2995	2007	dodge	excellent	4 cylinders	202481	automatic	ca	gas	compact
9950	2006	ford	excellent	8 cylinders	101310	automatic	tn	gas	full-size
23500	1967	chevrolet	good	8 cylinders	99999	manual	ks	gas	full-size
11500	2017	hyundai	excellent	4 cylinders	80537	automatic	ca	gas	mid-size
13999	2016	ford	excellent	4 cylinders	90000	automatic	tx	gas	mid-size
2500	2009	dodge	excellent	6 cylinders	101663	automatic	nm	gas	full-size
15000	1994	chevrolet	good	8 cylinders	147000	manual	ga	gas	full-size
7850	2006	mini	good	4 cylinders	83120	manual	nm	gas	compact
4995	2007	saturn	like new	6 cylinders	124000	automatic	oh	gas	mid-size
4995	2003	chevrolet	good	8 cylinders	297062	automatic	tx	gas	full-size
3950	2007	hyundai	good	6 cylinders	132000	automatic	ny	gas	mid-size
8500	2014	dodge	excellent	6 cylinders	101000	automatic	al	gas	mid-size
6500	2003	chevrolet	fair	8 cylinders	167000	automatic	il	gas	full-size
15999	2014	jeep	excellent	6 cylinders	128278	automatic	ri	gas	mid-size
37995	2019	chevrolet	excellent	8 cylinders	72759	automatic	mn	gas	full-size
5000	2005	audi	good	6 cylinders	124000	automatic	co	gas	mid-size
6200	2015	nissan	good	4 cylinders	67251	manual	ca	gas	compact
12500	2008	mercedes-benz	excellent	6 cylinders	110000	automatic	co	gas	mid-size
3400	2010	hyundai	good	4 cylinders	155000	automatic	ny	gas	full-size
4800	2006	subaru	good	4 cylinders	157000	automatic	ny	gas	compact
12994	2015	ford	like new	4 cylinders	95410	automatic	wi	gas	mid-size
29990	2007	ford	good	8 cylinders	124669	automatic	de	diesel	full-size
6995	2010	bmw	excellent	6 cylinders	135500	manual	pa	gas	sub-compact
25000	2018	mini	like new	4 cylinders	28000	manual	ny	gas	mid-size
10500	2011	ford	like new	4 cylinders	54000	automatic	ca	gas	compact
11000	2016	subaru	good	4 cylinders	122000	manual	ca	gas	compact
9995	2018	ford	excellent	4 cylinders	19855	automatic	me	gas	mid-size
12800	2007	chevrolet	excellent	8 cylinders	129000	automatic	nv	gas	full-size
4500	2006	dodge	good	8 cylinders	136000	automatic	oh	gas	mid-size
7000	2013	toyota	excellent	4 cylinders	156840	automatic	nc	hybrid	mid-size
9999	2012	dodge	good	6 cylinders	117000	automatic	or	gas	mid-size
4995	2008	chrysler	excellent	4 cylinders	97970	automatic	id	gas	compact
32995	2012	ford	excellent	8 cylinders	180163	automatic	me	diesel	full-size
18495	2017	volkswagen	excellent	4 cylinders	43406	automatic	mi	gas	compact
3300	2006	ford	excellent	6 cylinders	125000	automatic	ca	gas	full-size
7995	2013	mercedes-benz	good	4 cylinders	173000	automatic	ut	gas	mid-size
4495	2005	subaru	fair	4 cylinders	154672	automatic	ny	gas	mid-size
21900	2009	chevrolet	good	8 cylinders	100851	other	ia	gas	full-size
12495	2015	volkswagen	excellent	4 cylinders	56791	automatic	ct	gas	mid-size
29500	2008	toyota	excellent	6 cylinders	58626	automatic	ky	gas	mid-size
5600	2010	ford	excellent	4 cylinders	107000	automatic	pa	gas	compact
100	2011	jeep	excellent	6 cylinders	100000	automatic	oh	gas	full-size
35000	1995	toyota	good	8 cylinders	280000	automatic	az	gas	full-size
28700	2016	lincoln	excellent	6 cylinders	88809	automatic	fl	gas	full-size
13999	2004	toyota	excellent	4 cylinders	160000	automatic	ca	gas	full-size
2000	2007	jeep	good	6 cylinders	188831	manual	co	gas	mid-size
5500	2003	lexus	good	8 cylinders	202000	automatic	al	gas	full-size
1	2015	mercedes-benz	excellent	10 cylinders	59749	automatic	fl	gas	compact
29900	2010	ford	excellent	6 cylinders	136934	automatic	az	diesel	full-size
3000	2003	mitsubishi	good	4 cylinders	147000	manual	hi	gas	compact
6995	2012	chrysler	good	4 cylinders	94500	automatic	fl	gas	mid-size
6000	2007	bmw	excellent	6 cylinders	116000	automatic	ca	gas	full-size
7795	2006	toyota	excellent	8 cylinders	204000	automatic	pa	gas	full-size
3497	2006	hyundai	excellent	6 cylinders	160143	automatic	va	gas	compact
5494	2008	jeep	excellent	4 cylinders	162013	manual	nc	gas	sub-compact
6900	1999	chevrolet	good	6 cylinders	200000	automatic	me	gas	full-size
2499	2015	chevrolet	excellent	6 cylinders	43854	automatic	ga	gas	full-size
7500	1993	jeep	good	6 cylinders	230000	manual	ca	gas	mid-size
24999	2016	audi	excellent	4 cylinders	54987	automatic	ak	gas	mid-size
10990	2014	dodge	excellent	6 cylinders	110608	automatic	or	gas	mid-size
24000	2014	chevrolet	fair	6 cylinders	68000	automatic	ny	gas	full-size
16000	2013	lexus	excellent	6 cylinders	98215	automatic	mo	gas	full-size
7495	2007	bmw	good	6 cylinders	88000	automatic	ny	gas	full-size
22000	1939	buick	excellent	8 cylinders	71000	manual	oh	gas	full-size
7200	2011	mazda	excellent	6 cylinders	60000	automatic	ny	gas	compact
6995	2012	volkswagen	excellent	4 cylinders	105000	automatic	oh	gas	full-size
100	2016	jeep	excellent	6 cylinders	154667	automatic	pa	gas	mid-size
30900	2015	chevrolet	excellent	8 cylinders	113000	automatic	va	gas	full-size
11900	2013	volkswagen	excellent	4 cylinders	50000	automatic	ia	diesel	mid-size
8500	2014	toyota	good	4 cylinders	110500	automatic	vt	gas	compact
5000	2004	toyota	fair	6 cylinders	326200	automatic	pa	gas	mid-size
8500	2008	ford	excellent	8 cylinders	215711	automatic	fl	gas	full-size
10000	2006	chevrolet	good	8 cylinders	129000	automatic	mo	gas	full-size
1800	2001	volkswagen	fair	6 cylinders	235000	automatic	tn	gas	full-size
21995	2015	jeep	good	6 cylinders	64653	automatic	mi	gas	full-size
5500	2009	dodge	excellent	6 cylinders	138943	automatic	ia	gas	full-size
16500	1971	ford	good	8 cylinders	111640	automatic	sd	gas	full-size
15495	2014	toyota	like new	4 cylinders	103000	automatic	ma	gas	full-size
17995	2016	honda	excellent	6 cylinders	140000	automatic	fl	gas	full-size
12900	2014	ford	excellent	4 cylinders	90480	automatic	ca	gas	full-size
11800	1972	chevrolet	good	8 cylinders	100000	manual	or	gas	full-size
6500	2012	chevrolet	good	4 cylinders	140069	automatic	pa	gas	full-size
29440	2018	ford	good	8 cylinders	134714	automatic	wi	gas	full-size
5595	2014	nissan	excellent	4 cylinders	175901	automatic	ca	gas	compact
18495	2015	chevrolet	excellent	6 cylinders	98000	automatic	il	gas	full-size
15995	2017	jeep	good	4 cylinders	85000	automatic	ca	gas	mid-size
12995	2008	mercedes-benz	excellent	8 cylinders	138484	automatic	or	gas	mid-size
9990	2013	jeep	good	4 cylinders	171213	automatic	co	gas	mid-size
22999	2017	jeep	excellent	4 cylinders	42643	automatic	ak	gas	mid-size
7950	2009	dodge	excellent	6 cylinders	166000	automatic	in	gas	mid-size
21995	2019	chevrolet	excellent	6 cylinders	22697	automatic	hi	gas	full-size
11900	2007	toyota	like new	6 cylinders	85000	automatic	ca	gas	full-size
40000	2014	ford	excellent	8 cylinders	157800	automatic	tx	diesel	full-size
5000	2008	toyota	excellent	4 cylinders	146000	automatic	mn	gas	full-size
13700	1988	ford	good	4 cylinders	134100	automatic	ma	gas	full-size
3000	2004	honda	good	6 cylinders	136750	automatic	nh	gas	full-size
9995	2010	ford	good	8 cylinders	175303	automatic	nv	gas	full-size
17990	2016	ford	excellent	6 cylinders	93864	automatic	mn	gas	mid-size
14995	2014	honda	excellent	4 cylinders	90184	automatic	vt	gas	compact
14990	2007	jeep	excellent	6 cylinders	154703	manual	il	gas	mid-size
27500	2010	chevrolet	like new	8 cylinders	9200	manual	oh	gas	full-size
12888	2007	ram	excellent	8 cylinders	149200	automatic	ok	gas	full-size
24900	2013	chevrolet	excellent	8 cylinders	113000	automatic	mo	gas	full-size
23500	2019	ford	like new	4 cylinders	12975	automatic	ok	gas	compact
10900	2000	lexus	excellent	8 cylinders	223915	automatic	sd	gas	full-size
7500	2006	rover	excellent	8 cylinders	180000	automatic	ga	gas	mid-size
6000	2010	jeep	excellent	4 cylinders	134000	manual	co	gas	sub-compact
4995	2010	nissan	excellent	6 cylinders	173685	automatic	oh	gas	mid-size
26900	2013	chevrolet	good	8 cylinders	68330	automatic	ia	gas	full-size
42000	2006	ram	good	6 cylinders	128894	automatic	ca	diesel	full-size
6500	2009	toyota	excellent	4 cylinders	98700	automatic	ks	hybrid	mid-size
8500	2012	chevrolet	excellent	4 cylinders	102000	automatic	ny	gas	mid-size
9490	2011	toyota	excellent	6 cylinders	149437	automatic	va	gas	full-size
5000	2004	toyota	excellent	6 cylinders	182000	automatic	fl	gas	full-size
8500	1988	ford	good	8 cylinders	182000	automatic	co	gas	full-size
8500	2011	lincoln	excellent	8 cylinders	116754	automatic	ca	gas	full-size
3950	2004	ford	good	8 cylinders	238000	automatic	ks	gas	full-size
14800	2010	rover	good	8 cylinders	132587	automatic	nc	gas	mid-size
14900	1970	buick	excellent	8 cylinders	113500	automatic	me	gas	full-size
4600	2009	ford	fair	8 cylinders	192000	automatic	wi	gas	full-size
5975	2011	kia	excellent	4 cylinders	149000	manual	ca	gas	mid-size
4500	2005	nissan	good	6 cylinders	187818	automatic	tx	gas	mid-size
18995	2011	chevrolet	excellent	8 cylinders	149247	automatic	ma	gas	full-size
49990	2015	ford	good	10 cylinders	41631	automatic	al	gas	full-size
21700	2014	jeep	excellent	6 cylinders	94342	automatic	id	gas	mid-size
18555	2011	ram	excellent	8 cylinders	107888	automatic	ny	gas	full-size
7999	2006	infiniti	excellent	6 cylinders	126000	automatic	hi	gas	full-size
37995	2015	ford	like new	6 cylinders	98043	automatic	ak	gas	full-size
600	2014	mazda	excellent	4 cylinders	143000	automatic	ma	gas	mid-size
74995	2019	gmc	like new	8 cylinders	20762	automatic	nm	diesel	full-size
22990	2010	ford	good	10 cylinders	121911	automatic	nc	gas	full-size
8395	2010	honda	excellent	4 cylinders	120000	automatic	in	gas	mid-size
4500	2002	bmw	like new	6 cylinders	142268	automatic	ny	gas	mid-size
7000	1980	chevrolet	good	8 cylinders	141419	automatic	nm	gas	full-size
15498	2015	jeep	good	4 cylinders	117619	automatic	vt	gas	compact
1200	2002	ford	fair	8 cylinders	300000	automatic	fl	gas	full-size
32888	2019	ram	like new	8 cylinders	68300	automatic	ar	gas	full-size
10990	2004	toyota	excellent	6 cylinders	127000	automatic	va	gas	full-size
2995	2013	infiniti	like new	6 cylinders	90525	automatic	fl	gas	full-size
20000	2011	gmc	good	8 cylinders	88000	automatic	oh	gas	mid-size
6500	2013	volkswagen	excellent	5 cylinders	119000	automatic	pa	gas	compact
69900	2020	chevrolet	excellent	8 cylinders	27831	automatic	ny	diesel	full-size
2200	2008	ford	fair	4 cylinders	131432	manual	or	gas	sub-compact
12995	2015	hyundai	excellent	4 cylinders	81000	automatic	az	gas	full-size
12500	1994	ford	good	8 cylinders	231000	manual	co	diesel	full-size
9499	2010	ford	good	6 cylinders	90000	automatic	az	gas	full-size
12999	2011	infiniti	excellent	6 cylinders	95710	automatic	ca	gas	compact
40500	2015	toyota	excellent	8 cylinders	94291	automatic	fl	gas	full-size
100	2011	jeep	excellent	6 cylinders	100000	automatic	oh	gas	full-size
12995	2015	nissan	excellent	4 cylinders	74388	automatic	ca	gas	full-size
6999	2012	toyota	excellent	4 cylinders	97324	automatic	dc	hybrid	mid-size
12500	2010	honda	excellent	6 cylinders	128138	automatic	nc	gas	full-size
3999	2009	hyundai	good	6 cylinders	129000	automatic	tx	gas	full-size
16800	2017	ford	excellent	4 cylinders	74500	automatic	ca	gas	compact
5300	2006	mazda	good	other	119300	manual	me	gas	mid-size
3900	2002	ford	good	6 cylinders	199800	automatic	ca	gas	full-size
7500	2003	honda	excellent	4 cylinders	192000	automatic	tn	gas	mid-size
9000	2014	toyota	good	4 cylinders	157000	automatic	ny	gas	full-size
16988	2014	dodge	excellent	6 cylinders	88100	automatic	ny	gas	full-size
3995	2002	nissan	good	6 cylinders	175000	automatic	ks	gas	compact
4000	2003	mitsubishi	good	4 cylinders	74500	manual	wi	gas	mid-size
21000	2018	toyota	good	4 cylinders	55000	automatic	nm	gas	full-size
3800	2002	chevrolet	excellent	8 cylinders	174000	automatic	wi	gas	full-size
12995	2012	infiniti	excellent	6 cylinders	121635	automatic	nc	gas	mid-size
45300	2018	ram	excellent	6 cylinders	34125	automatic	nc	diesel	full-size
12000	1981	pontiac	good	8 cylinders	34303	automatic	ak	gas	full-size
8199	2008	gmc	excellent	8 cylinders	238500	automatic	sc	gas	full-size
6495	2006	chevrolet	excellent	8 cylinders	201000	automatic	ri	gas	full-size
32200	2019	subaru	like new	4 cylinders	10324	automatic	mt	gas	mid-size
4990	2013	chevrolet	excellent	6 cylinders	134925	automatic	az	gas	mid-size
18000	2010	ford	excellent	8 cylinders	231994	automatic	sc	diesel	full-size
15999	2002	gmc	excellent	8 cylinders	67000	automatic	ny	gas	full-size
69433	2020	ford	like new	6 cylinders	9802	automatic	md	gas	full-size
15995	2017	cadillac	excellent	6 cylinders	21800	automatic	ca	gas	mid-size
7885	2007	hyundai	excellent	6 cylinders	145000	automatic	ia	gas	full-size
2800	2009	ford	excellent	8 cylinders	130000	automatic	ny	gas	full-size
6995	2005	chevrolet	good	8 cylinders	158935	automatic	oh	gas	full-size
33990	2014	ford	good	8 cylinders	136250	automatic	al	diesel	full-size
7700	2011	ford	good	4 cylinders	133500	automatic	pa	gas	full-size
4700	2005	nissan	good	6 cylinders	149430	automatic	tx	gas	full-size
11995	2017	chevrolet	excellent	4 cylinders	52450	manual	mn	gas	mid-size
12900	2014	hyundai	like new	6 cylinders	111800	automatic	ky	gas	mid-size
14500	2016	dodge	excellent	6 cylinders	77000	automatic	tx	gas	full-size
1234567	2006	jeep	like new	6 cylinders	123456	automatic	in	gas	mid-size
48200	2018	chevrolet	excellent	8 cylinders	33467	automatic	al	gas	full-size
49500	2019	toyota	like new	8 cylinders	16000	automatic	id	gas	full-size
21990	2005	ford	good	8 cylinders	45554	automatic	il	gas	full-size
20900	2007	chevrolet	excellent	8 cylinders	181850	automatic	ny	diesel	full-size
19900	2006	gmc	excellent	8 cylinders	148700	automatic	ca	gas	full-size
5700	2007	toyota	excellent	4 cylinders	181000	automatic	nc	gas	mid-size
7250	2009	volkswagen	excellent	6 cylinders	97500	automatic	mn	gas	mid-size
8000	2000	toyota	good	8 cylinders	221700	automatic	pa	gas	full-size
9999	2011	mercedes-benz	good	6 cylinders	111540	automatic	co	gas	mid-size
16	2007	mitsubishi	good	6 cylinders	379000	manual	fl	diesel	mid-size
14999	1994	toyota	excellent	4 cylinders	75658	automatic	hi	diesel	full-size
16900	2014	honda	excellent	6 cylinders	127200	automatic	mi	gas	mid-size
4800	2004	subaru	good	4 cylinders	157000	automatic	ga	gas	mid-size
22900	2014	ford	excellent	8 cylinders	97200	automatic	in	gas	full-size
6300	2012	chevrolet	excellent	4 cylinders	103664	manual	fl	gas	compact
22990	2016	ford	good	8 cylinders	181410	automatic	al	gas	full-size
2981	2009	chevrolet	good	4 cylinders	145484	automatic	in	gas	mid-size
9200	2016	kia	good	4 cylinders	130973	automatic	ga	gas	compact
8500	1974	alfa-romeo	good	4 cylinders	21047	manual	oh	gas	compact
11199	2009	acura	like new	6 cylinders	101186	automatic	ca	gas	compact
22500	2009	bmw	excellent	6 cylinders	63500	manual	fl	gas	compact
7900	2013	chevrolet	excellent	4 cylinders	142000	automatic	mo	gas	mid-size
10999	2009	gmc	good	8 cylinders	140110	automatic	ny	gas	full-size
27000	2016	ford	excellent	8 cylinders	95000	automatic	sc	gas	full-size
5200	2009	ford	excellent	6 cylinders	199000	automatic	de	gas	mid-size
2500	2003	ford	good	6 cylinders	151000	automatic	fl	gas	compact
9999	2009	subaru	excellent	4 cylinders	141676	automatic	ca	gas	mid-size
30900	1998	ford	excellent	8 cylinders	159000	automatic	ca	diesel	full-size
14900	2017	nissan	excellent	6 cylinders	89000	automatic	ny	gas	mid-size
6995	2002	ford	excellent	4 cylinders	41433	automatic	pa	gas	mid-size
12999	2012	jeep	excellent	6 cylinders	175253	automatic	ri	gas	mid-size
19950	2012	ford	excellent	8 cylinders	81000	automatic	mt	gas	full-size
3000	2005	jeep	fair	8 cylinders	153065	automatic	co	gas	full-size
25000	2014	ford	like new	6 cylinders	167500	automatic	id	gas	full-size
13995	2012	honda	good	4 cylinders	103288	automatic	mt	gas	full-size
39995	2016	ford	excellent	8 cylinders	72997	automatic	tx	diesel	full-size
5495	2005	toyota	excellent	6 cylinders	129680	automatic	ca	gas	full-size
22999	2014	ford	excellent	8 cylinders	133508	automatic	ca	gas	full-size
3500	2003	honda	good	4 cylinders	201580	automatic	al	gas	full-size
5900	2010	volkswagen	excellent	4 cylinders	90000	automatic	ga	gas	mid-size
7500	2002	ram	good	6 cylinders	240000	manual	wa	diesel	full-size
6899	2012	ford	excellent	4 cylinders	70978	automatic	nc	gas	compact
8900	1982	volvo	like new	4 cylinders	228112	manual	ca	gas	full-size
33990	2017	ram	excellent	6 cylinders	53000	automatic	me	gas	full-size
4985	2004	chevrolet	good	5 cylinders	235597	automatic	il	gas	compact
7495	2010	toyota	excellent	4 cylinders	0	automatic	ca	hybrid	mid-size
33990	2014	ford	good	8 cylinders	136250	automatic	wi	diesel	full-size
24500	2019	subaru	like new	4 cylinders	340	automatic	co	gas	mid-size
15490	2019	ford	new	4 cylinders	7600	automatic	il	gas	mid-size
16999	2012	ford	excellent	8 cylinders	160264	automatic	ca	gas	full-size
1	2013	hyundai	excellent	4 cylinders	92292	automatic	fl	gas	mid-size
37000	2016	gmc	like new	8 cylinders	70000	automatic	sd	gas	full-size
15900	2011	toyota	excellent	6 cylinders	115869	automatic	ms	gas	full-size
7990	2010	toyota	excellent	4 cylinders	130199	automatic	wi	hybrid	mid-size
16700	2016	ford	excellent	4 cylinders	73656	automatic	ny	gas	full-size
5800	2014	dodge	like new	4 cylinders	58000	automatic	ct	gas	full-size
6981	2012	ford	good	6 cylinders	215116	automatic	in	gas	full-size
7795	2012	hyundai	excellent	4 cylinders	106839	automatic	oh	gas	full-size
5899	2011	subaru	good	4 cylinders	89500	automatic	co	gas	mid-size
29500	2014	gmc	excellent	8 cylinders	76684	automatic	mi	gas	full-size
10900	2014	chevrolet	excellent	4 cylinders	119836	automatic	ok	gas	mid-size
16781	2014	ford	good	6 cylinders	81288	automatic	wi	gas	full-size
11200	2015	chevrolet	good	4 cylinders	166476	automatic	ca	gas	mid-size
27500	2015	ford	excellent	6 cylinders	36874	automatic	pa	gas	full-size
12500	1968	jeep	good	6 cylinders	1000	automatic	ca	gas	compact
2995	2006	saturn	good	4 cylinders	110526	automatic	oh	gas	sub-compact
8400	2009	mercedes-benz	excellent	6 cylinders	159000	automatic	nj	gas	mid-size
5999	2012	mini	excellent	4 cylinders	124000	manual	ca	gas	compact
6495	2013	dodge	excellent	4 cylinders	167000	automatic	mi	gas	compact
39995	2016	jeep	like new	6 cylinders	29470	manual	ak	gas	mid-size
9000	2011	nissan	excellent	6 cylinders	135223	automatic	ma	gas	full-size
22900	2008	ford	excellent	8 cylinders	147371	automatic	az	diesel	full-size
8950	2014	ford	excellent	6 cylinders	47807	automatic	mn	gas	compact
16900	2013	ford	good	6 cylinders	79500	automatic	tn	gas	full-size
7995	2019	dodge	fair	6 cylinders	28266	automatic	wi	gas	full-size
36000	2014	ford	excellent	8 cylinders	50300	automatic	tx	gas	full-size
18980	2013	nissan	excellent	6 cylinders	108276	automatic	ks	gas	mid-size
4699	2006	ford	good	6 cylinders	188351	automatic	nc	gas	mid-size
7490	2004	lexus	excellent	8 cylinders	214644	automatic	md	gas	full-size
1200	2006	nissan	good	6 cylinders	165000	automatic	ca	gas	mid-size
20000	2011	ford	excellent	8 cylinders	250000	automatic	wi	diesel	full-size
10999	2018	chevrolet	like new	4 cylinders	51000	automatic	ar	gas	full-size
9995	2004	lexus	good	6 cylinders	164460	automatic	tx	gas	full-size
17300	2014	subaru	excellent	4 cylinders	82004	manual	ny	gas	compact
20500	2014	chevrolet	excellent	8 cylinders	121000	automatic	sc	gas	full-size
7000	2005	ford	excellent	6 cylinders	141000	automatic	ct	gas	compact
20000	2000	jeep	excellent	6 cylinders	95724	automatic	la	gas	mid-size
3000	1981	toyota	fair	4 cylinders	162000	manual	co	gas	compact
4500	1992	honda	excellent	4 cylinders	89000	automatic	ny	gas	compact
12900	2014	toyota	like new	4 cylinders	52000	other	wi	gas	full-size
5400	2002	chevrolet	excellent	8 cylinders	115000	automatic	ca	gas	full-size
5000	2002	toyota	good	8 cylinders	117000	automatic	fl	gas	full-size
4850	2013	volvo	good	6 cylinders	156	automatic	dc	gas	mid-size
14000	2012	chevrolet	excellent	8 cylinders	177040	automatic	mn	gas	full-size
7800	2005	toyota	excellent	4 cylinders	249000	manual	ct	gas	mid-size
10995	2010	toyota	excellent	4 cylinders	56286	automatic	fl	gas	mid-size
3500	1996	nissan	good	4 cylinders	178893	automatic	nc	gas	compact
9500	2013	ford	excellent	4 cylinders	116000	automatic	mo	gas	mid-size
7995	2012	ford	good	4 cylinders	141000	automatic	wi	gas	mid-size
9483	2013	cadillac	good	4 cylinders	124611	automatic	ny	gas	mid-size
1700	2002	honda	fair	6 cylinders	245000	automatic	il	gas	full-size
15998	2018	subaru	excellent	4 cylinders	31340	automatic	mn	gas	mid-size
7499	2009	bmw	excellent	6 cylinders	122682	automatic	az	gas	sub-compact
15991	2007	cadillac	excellent	8 cylinders	103000	automatic	fl	gas	full-size
3750	1999	nissan	good	6 cylinders	180000	automatic	nc	gas	mid-size
18787	2015	ford	good	6 cylinders	138712	automatic	wi	gas	mid-size
3500	2007	pontiac	good	6 cylinders	178500	automatic	oh	gas	mid-size
11900	2016	chevrolet	excellent	6 cylinders	85000	automatic	pa	gas	mid-size
29999	1998	bmw	excellent	6 cylinders	92	manual	ny	gas	mid-size
7900	1998	toyota	good	4 cylinders	187000	automatic	tx	gas	mid-size
9999	2013	volkswagen	excellent	4 cylinders	128000	automatic	ny	diesel	full-size
6900	2004	chevrolet	good	8 cylinders	193578	automatic	ok	gas	full-size
14500	2014	chevrolet	excellent	6 cylinders	92691	automatic	co	gas	mid-size
13600	1999	bmw	excellent	6 cylinders	31800	manual	wi	gas	compact
9500	2010	mercedes-benz	good	6 cylinders	139000	automatic	nc	gas	full-size
6500	2008	honda	good	5 cylinders	95004	automatic	oh	gas	full-size
45214	2014	ford	good	8 cylinders	98904	automatic	vt	diesel	full-size
8750	2006	subaru	excellent	4 cylinders	92000	manual	al	gas	compact
18487	2017	ford	good	6 cylinders	154579	automatic	wi	gas	mid-size
49995	2020	toyota	like new	6 cylinders	12978	automatic	ca	gas	full-size
4500	1998	ford	good	8 cylinders	203000	automatic	sc	gas	full-size
4300	2003	lincoln	good	8 cylinders	36000	automatic	tx	gas	full-size
5000	2006	subaru	good	4 cylinders	199490	automatic	ca	gas	compact
8200	2011	nissan	good	8 cylinders	149770	automatic	md	gas	full-size
190	2010	cadillac	excellent	6 cylinders	148000	automatic	id	gas	full-size
7500	2005	mercedes-benz	excellent	8 cylinders	165000	automatic	ca	gas	full-size
17995	2016	ford	excellent	6 cylinders	100371	automatic	mt	gas	full-size
8497	2009	cadillac	excellent	6 cylinders	143608	automatic	tx	gas	mid-size
1	2019	chevrolet	excellent	10 cylinders	80545	automatic	fl	gas	full-size
5750	2007	volvo	good	8 cylinders	121000	automatic	ri	gas	full-size
9900	2007	mercedes-benz	excellent	8 cylinders	164092	automatic	fl	gas	full-size
1500	2010	honda	excellent	4 cylinders	115000	automatic	nh	gas	full-size
10999	2012	volkswagen	excellent	4 cylinders	66580	automatic	or	gas	sub-compact
35900	2012	gmc	excellent	8 cylinders	163000	automatic	nc	diesel	full-size
10000	2014	jeep	like new	6 cylinders	189721	automatic	wv	gas	full-size
6500	2012	kia	excellent	4 cylinders	85000	automatic	co	gas	compact
7795	2007	toyota	excellent	4 cylinders	71000	automatic	va	hybrid	mid-size
8800	2012	honda	excellent	4 cylinders	126109	automatic	ca	gas	compact
35900	2012	gmc	excellent	8 cylinders	163000	automatic	va	diesel	full-size
