id,cat1,cat2,cat3,cat4,q1,q2,q3,q4
168,B,type_2,X,200,8.399694728,17.26349246,9.386713902,14.55750629
196,A,type_3,X,300,93.95155931,0.87743801,2.117563979,39.26392126
31,B,type_3,Y,100,40.51610591,17.65207171,1.50091341,22.29235242
155,B,type_1,Z,200,20.05016174,9.040550762,0.917361459,13.56150558
87,C,type_2,X,100,34.38140354,13.30335507,6.688808736,24.03121695
118,A,type_3,Y,200,19.57890377,31.28414386,3.322373157,15.11023742
154,C,type_2,X,200,25.58392783,22.15490928,5.268936734,13.80036547
122,B,type_2,Y,300,75.75959669,36.81563461,9.827432825,47.28592348
96,B,type_3,Z,300,23.80220452,31.85185192,1.250837667,17.392223
64,B,type_1,X,300,69.88434313,15.02786028,5.69266241,44.30775264
150,A,type_2,X,300,59.33655195,16.19382693,2.913812037,32.82983877
82,C,type_3,X,300,14.50828941,39.90732033,5.60620395,23.39010187
201,C,type_1,Z,200,76.37086131,26.60815241,8.697172076,42.80894684
202,A,type_2,Y,300,85.28724946,6.36902964,6.733993857,48.400099
203,C,type_2,X,200,95.59874581,29.33615585,9.409707006,59.10613789
204,C,type_2,X,200,95.89993494,6.898946937,7.433122988,64.94006911
205,B,type_2,Z,100,70.63707975,43.43540826,5.102870176,39.6573489
206,n,nan,n,nan,,,,
207,B,type_2,Z,200,3.791166828,33.47040599,1.037603479,11.1448507
208,A,type_3,Z,300,39.02304191,44.84051858,3.196150455,35.87232384
209,B,type_3,X,200,73.31266084,4.906176273,3.556855589,39.96093938
210,C,type_3,Y,300,94.0638613,26.511609,8.207251401,58.47901903
211,A,type_1,X,200,11.35403624,47.90454368,5.035977455,17.71491046
212,C,type_3,X,200,54.22419402,13.89713894,5.208242721,21.54220377
213,A,type_2,Z,300,47.47737178,14.053397,9.971796087,29.07177465
214,C,type_2,Z,100,4.572830433,23.50262001,6.339558918,11.62865258
215,A,type_3,X,200,65.06774201,47.38516469,5.831419066,49.04787318
216,C,type_1,Z,200,87.25796926,40.05068461,8.282669371,51.49135682
217,B,type_1,Z,300,46.18526066,13.55928163,1.520525646,27.4640148
218,A,type_2,Y,300,52.32657226,11.57926782,8.608297942,33.29093905
219,C,type_2,X,100,17.77898691,9.930837504,2.657085399,20.04808526
220,C,type_3,X,100,12.11184897,21.48627498,2.916948931,20.08823316
221,C,type_1,Y,100,61.38478434,40.39528391,6.771508916,49.66421547
222,C,type_3,Z,200,71.64101249,7.615110298,1.211614569,44.35794858
223,B,type_2,Y,200,28.75033729,30.85298396,1.794329629,23.07454178
224,B,type_2,Y,300,49.94505065,23.61451931,9.701078697,39.12409632
225,A,type_3,Y,300,95.80593879,32.31604049,6.268266868,54.11541798
226,A,type_1,Z,300,3.33235427,20.17425991,2.539718977,3.150506673
227,n,nan,n,nan,,,,
228,A,type_2,X,100,10.30532537,16.05037637,3.495577758,10.25967633
229,C,type_1,Z,100,82.19924326,36.10836966,1.547233189,62.25370068
230,A,type_2,Y,200,99.22434546,47.98291902,9.80322034,59.22995943
231,A,type_1,Y,200,15.97290066,28.96208757,1.158493268,18.89612633
232,C,type_1,Y,300,75.19009031,31.72803339,5.72995757,45.94120313
233,B,type_2,Y,100,28.73789749,26.24005999,7.500746108,29.07282244
234,C,type_3,Y,200,32.87446511,24.29751885,9.3139259,22.57084018
235,B,type_2,Y,100,92.98480945,8.427340976,1.10031,49.29502049
236,A,type_2,X,200,71.25231372,34.37744788,5.278052289,46.55154249
237,B,type_2,Z,100,81.20745036,30.30859319,1.325173319,51.42536387
238,C,type_2,X,200,45.47614376,27.64428802,7.720473495,44.07291889
239,A,type_3,Y,200,32.72626783,15.32134893,2.042923935,19.17080762
240,B,type_3,Y,200,13.83067463,19.7245704,2.267052627,18.97730393
241,B,type_3,Y,200,62.53781798,21.65969279,9.984440444,35.20946752
242,C,type_1,X,300,67.98350737,32.87425481,8.451904356,46.82147249
243,A,type_3,Y,100,93.03974291,36.29468134,6.505379774,56.31790399
244,A,type_1,X,200,12.51539381,15.64767286,6.405178169,13.94045518
245,B,type_2,Z,200,73.70604462,30.73682483,5.980661024,43.33149678
246,B,type_3,X,100,54.65400163,18.51871343,9.521057638,40.31941508
247,B,type_3,X,200,45.73301068,24.26058365,8.587499106,31.69955778
248,A,type_3,Z,200,75.29183799,4.095875009,6.107219468,38.54754076
249,B,type_3,Y,100,60.72755152,28.93388122,1.366289637,42.00830162
250,B,type_3,X,300,10.27544437,44.82210596,3.687608472,20.76803665
251,A,type_2,Z,300,41.91563983,47.67026733,9.615543105,38.64412975
252,A,type_3,X,200,99.56701936,16.73175656,1.215382326,62.82736515
253,C,type_1,X,300,76.75552241,8.506305032,0.991634514,45.21578817
254,A,type_1,Z,300,76.25803782,48.8320298,0.309624344,42.80566815
255,A,type_3,X,200,92.22061356,39.8352501,6.224848743,61.18143923
256,C,type_1,Z,200,72.93854682,14.65882261,3.151906446,39.35555939
257,A,type_3,X,300,84.79846901,0.224502199,9.027263865,49.00822405
258,C,type_2,Y,200,40.10834141,13.21021321,9.711547445,19.32598418
259,n,nan,n,nan,,,,
260,C,type_3,Y,300,95.70318254,23.71333965,8.664530926,45.37815777
261,B,type_1,X,100,75.74936401,14.71570069,3.64679592,54.42372909
262,B,type_3,Y,300,47.13154529,17.11963579,2.536073791,29.53293035
263,B,type_1,Z,300,48.95966303,11.45984175,5.968878037,20.94340492
264,C,type_2,X,300,1.659075246,28.26522029,9.126706209,3.436318348
265,B,type_1,Z,200,22.9733589,10.85835321,1.351100972,20.3272824
266,A,type_1,X,300,47.13021881,34.79457764,2.507418274,30.7689346
267,C,type_1,Y,200,29.37987395,23.63815564,0.370445868,20.09518591
268,A,type_1,Y,100,98.1816086,7.95049037,3.022280724,47.37982123
269,A,type_3,Z,300,11.55222203,49.42031708,7.12208314,19.79362191
270,A,type_2,Z,100,50.5557997,19.88648816,1.027343,43.48013774
271,C,type_2,X,300,0.9912599,19.47198338,2.99166494,2.083439529
272,A,type_1,Z,200,27.25183873,22.14267244,5.529653247,24.05419909
273,B,type_1,Z,100,22.44308675,10.87855489,7.911286065,24.22184115
274,n,nan,n,nan,,,,
275,B,type_2,Z,100,88.72189456,21.22495276,4.26173254,49.04646747
276,C,type_2,Z,200,56.64434972,29.30816969,5.217820657,45.32925266
277,A,type_2,X,200,64.41025446,16.96104092,8.729215386,38.56765631
278,B,type_1,Y,300,27.99233821,24.02788468,4.685793483,27.19716126
279,C,type_2,Y,300,30.88664888,45.20452109,2.138606842,35.03420333
280,A,type_1,X,100,49.90052428,8.380675817,8.894702841,33.7909348
281,A,type_1,Y,200,56.85596635,39.67007935,7.293597226,47.1788098
282,C,type_2,X,200,54.63289207,23.10682029,3.769424416,35.0370732
283,C,type_3,X,300,26.00463466,12.84705926,4.876250606,12.2242429
284,C,type_1,Z,200,14.59733905,34.323488,2.018381334,19.81931219
285,C,type_2,Z,200,36.8372364,12.21662875,0.454456424,18.93880152
286,B,type_1,X,200,78.41194815,7.66872238,3.232905276,41.87578906
287,C,type_3,Z,100,59.61330197,16.5078074,6.34084145,40.6391064
288,A,type_2,Z,100,18.18730398,14.64414651,2.827202431,8.111817424
289,B,type_1,Y,100,23.321774,36.51848819,9.852649571,28.14280222
290,A,type_3,Y,200,90.41922274,38.30023712,1.013181711,54.28067603
291,A,type_3,Z,300,39.61878474,5.291591132,6.45046397,25.93388827
292,C,type_1,X,300,85.37008951,38.39400773,5.461989675,47.14643689
293,B,type_2,X,300,97.74710975,12.82841978,0.032013985,55.19211683
294,C,type_2,Z,100,35.78672993,11.32781045,8.403846717,25.42152497
295,A,type_1,Z,200,1.291768276,35.28761819,4.074684829,14.97430889
296,C,type_3,X,100,72.77887506,43.68761546,5.142341792,58.25437966
297,C,type_3,Y,100,48.54381353,30.36207746,7.253684549,31.78783531
298,C,type_3,Y,300,88.74218163,46.95652525,7.233736207,63.37607109
299,C,type_3,X,300,16.92290904,33.27132155,7.972612699,23.9526641
300,C,type_1,Z,200,24.32475502,42.73227336,1.14340998,24.18018714
301,C,type_3,Y,100,47.16417358,26.03110951,9.653834728,27.79878835
302,B,type_1,X,200,13.577579,44.28603108,8.701865844,19.58351574
303,C,type_2,Z,100,36.03339984,5.7573974,8.851319563,20.80440506
304,n,nan,n,nan,,,,
305,C,type_3,Y,100,80.17804308,14.47052343,2.89372757,40.62250454
306,B,type_3,Z,200,10.07040816,7.461792354,7.040541569,10.80010789
307,A,type_3,X,100,59.58579436,7.470695989,7.732410334,20.69539372
308,B,type_2,X,100,26.2231313,22.14321474,2.292461867,16.42330749
309,n,nan,n,nan,,,,
310,A,type_1,X,100,10.96951529,45.53558732,4.906185001,23.03727438
311,C,type_1,Z,300,69.92151679,47.05451461,2.328242924,41.26747849
312,C,type_3,X,200,89.10623144,0.953829828,9.664141992,57.23082721
313,B,type_1,Y,300,5.467774926,12.95673624,9.225922139,7.280640405
314,n,nan,n,nan,,,,
315,C,type_2,Z,300,39.84317061,44.07063126,5.404157432,33.89046774
316,A,type_1,Z,300,97.86826215,26.6055099,3.670956984,48.45900752
317,C,type_3,X,200,44.26679476,8.056728027,8.822714224,31.61997129
318,C,type_1,Z,300,82.48608765,41.5236551,7.73478503,45.97639449
319,B,type_2,X,200,28.11198761,3.587066313,7.672351502,33.09185607
320,C,type_1,X,200,46.81697075,42.68124122,5.068387496,37.75330722
321,C,type_1,Z,300,82.58616403,0.807940808,0.409509462,38.10596096
322,B,type_2,Z,100,76.86920897,22.74451767,5.582009462,44.88184741
323,n,nan,n,nan,,,,
324,B,type_3,Z,300,25.27174878,32.44993316,5.072551222,25.12122388
325,C,type_3,Z,200,54.84729851,27.51080087,7.419067223,36.9538341
326,n,nan,n,nan,,,,
327,n,nan,n,nan,,,,
328,C,type_3,Z,100,77.2061988,21.46718978,0.461395378,40.56234528
329,C,type_3,X,300,73.76005448,24.23479801,3.103801012,51.56277698
330,C,type_1,X,200,85.07756472,31.44052295,8.981858139,53.59229329
331,B,type_3,Y,200,88.92003678,4.958032597,3.087514512,41.3030153
332,B,type_3,Z,100,88.34254567,44.07102319,4.535616798,49.58959598
333,C,type_1,Z,200,90.09158986,28.300131,5.696770583,55.03809919
334,A,type_2,Z,100,98.07048402,33.78446063,7.654631947,55.69346745
335,B,type_1,Z,300,33.24295408,46.13198258,2.481317051,30.40633296
336,C,type_3,Z,300,92.90113287,32.11705029,0.726778794,54.980342
337,B,type_3,X,300,94.75603115,3.586725736,8.597396555,56.09558851
338,A,type_2,Z,100,64.81822785,4.178926835,7.141862939,39.05990919
339,B,type_2,Z,200,66.45907441,28.41156331,7.713810572,44.77543314
340,B,type_1,Y,200,35.85585546,5.833260827,1.708194932,11.47250304
