birdwatcher_id,age,favorite_bird,lens_size,repeat_experience,date
163,81,hummingbird,10,1,2023-10-23
164,67,hummingbird,8,1,2023-03-01
165,82,woodpecker,10,1,2023-09-15
166,78,hummingbird,7,1,2023-06-04
167,67,sparrow,8,0,2023-01-05
168,96,hummingbird,10,1,2023-10-07
169,40,woodpecker,10,1,2023-11-06
170,60,sparrows,7,1,2023-02-18
171,21,hummingbirds,7,1,2023-05-28
172,78,sparrow,7,0,2023-01-03
173,73,spaarow,8,1,2023-02-17
174,34,sparrow,8,1,2023-05-12
175,73,hummingbird,10,1,2023-09-06
176,59,hummingbirds,10,1,2023-07-22
177,71,sparrow,8,1,2023-01-08
178,34,hummingbirds,8,0,2023-05-02
179,65,sparrow,10,0,2023-09-26
180,92,sparrow,8,1,2023-05-22
181,50,hummingbirds,7,1,2023-09-15
182,86,huminggbird,7,0,2023-03-19
183,26,hummingbirds,8,1,2023-08-23
184,97,sparrow,10,1,2023-06-17
185,30,sparrow,10,1,2023-06-20
186,95,sparrow,7,1,2023-09-17
187,42,hummingbirds,7,0,2023-04-23
188,73,sparrows,8,1,2023-02-22
189,32,hummingbird,7,1,2023-01-08
190,82,woodpecker,10,0,2023-01-07
191,80,hummingbird,8,0,2023-03-10
192,82,woodpecker,10,0,2023-04-05
193,30,woodpecker,10,1,2023-10-18
194,57,wodopecker,7,1,2023-04-19
195,26,sparrow,7,0,2023-06-09
196,87,sparrow,7,0,2023-03-24
197,20,hummingbird,10,0,2023-10-14
198,43,sparrow,8,1,2023-02-18
199,94,woodpecker,8,1,2023-05-09
200,96,woodpecker,10,0,2023-07-21
201,30,spaarow,10,1,2023-03-13
202,64,sparrow,8,0,2023-08-03
203,61,sparrow,7,0,2023-05-22
204,29,sparrow,7,0,2023-07-23
205,96,sparrow,8,1,2023-03-18
206,72,sparrow,7,1,2023-04-03
207,66,hummingbird,8,0,2023-11-24
208,95,sparrow,7,0,2023-05-21
209,80,sparrow,7,1,2023-12-21
210,53,woodpecker,8,0,2023-04-23
211,29,hummingbird,10,1,2023-06-19
212,81,woodpecker,7,0,2023-11-21
213,77,wodopecker,7,1,2023-09-20
214,31,hummingbird,10,1,2023-03-14
215,38,woodpecker,10,0,2023-03-11
216,103,sparrow,10,1,2023-07-13
217,77,sparrow,8,0,2023-01-20
218,81,woodpecker,10,0,2023-04-03
219,97,woodpecker,7,0,2023-05-04
220,98,woodpecker,8,0,2023-09-04
221,86,woodpecker,7,0,2023-11-18
222,95,woodpecker,8,1,2023-07-03
223,34,woodpecker,8,1,2023-06-21
224,50,sparrow,10,1,2023-02-12
225,93,hummingbird,8,0,2023-06-25
226,31,woodpecker,7,1,2023-05-05
227,48,woodpecker,7,1,2023-04-09
228,54,hummingbird,7,0,2023-01-04
229,32,hummingbird,10,0,2023-07-08
230,105,sparrow,10,1,2023-07-04
231,85,sparrow,8,0,2023-02-06
232,81,sparrow,7,1,2023-09-24
233,96,hummingbird,8,0,2023-05-19
234,67,woodpecker,10,0,2023-08-04
235,21,sparrow,10,1,2023-09-12
236,22,spaarow,7,0,2023-12-19
237,20,sparrow,7,1,2023-05-18
238,73,sparrow,7,1,2023-05-20
239,93,hummingbird,7,0,2023-02-02
240,60,sparrow,8,0,2023-03-11
241,78,sparrow,7,0,2023-07-06
242,60,woodpecker,8,1,2023-06-26
243,95,hummingbird,10,0,2023-12-22
244,69,woodpecker,8,0,2023-09-18
245,64,hummingbird,10,0,2023-10-28
246,58,hummingbird,7,0,2023-07-16
247,44,hummingbird,10,1,2023-10-05
248,63,sparrow,8,0,2023-05-01
249,30,hummingbird,7,0,2023-11-17
250,101,woodpecker,10,0,2023-12-05
251,103,sparrow,10,0,2023-11-05
252,33,wodopecker,8,1,2023-03-13
253,90,woodpecker,8,1,2023-10-24
254,81,wodopecker,8,0,2023-05-02
255,92,hummingbird,8,1,2023-12-21
256,35,sparrow,8,1,2023-06-23
257,25,wodopecker,7,1,2023-04-22
258,92,sparrow,10,0,2023-10-14
259,86,sparrow,8,1,2023-12-15
260,64,sparrow,7,0,2023-03-15
261,68,woodpecker,8,1,2023-06-26
262,29,sparrow,7,1,2023-08-17
263,76,sparrow,7,0,2023-05-09
264,83,hummingbird,10,1,2023-07-17
265,20,hummingbird,10,1,2023-12-27
266,53,wodopecker,8,1,2023-04-10
267,18,hummingbird,10,0,2023-11-28
268,97,huminggbird,7,0,2023-02-10
269,74,sparrow,8,1,2023-07-25
270,88,sparrow,7,0,2023-06-28
271,99,woodpecker,8,1,2023-02-21
272,28,hummingbird,10,0,2023-02-03
273,92,hummingbird,7,1,2023-12-08
274,66,woodpecker,10,0,2023-02-06
275,65,sparrow,10,1,2023-10-02
276,93,sparrow,7,0,2023-02-24
277,18,hummingbird,8,0,2023-05-18
278,54,hummingbird,7,0,2023-08-26
279,58,woodpecker,7,0,2023-01-14
280,78,woodpecker,8,1,2023-11-17
281,104,hummingbird,8,0,2023-12-05
282,39,hummingbird,10,0,2023-08-16
283,28,sparrow,8,0,2023-09-22
284,67,woodpecker,10,0,2023-11-18
285,19,woodpecker,7,0,2023-12-04
286,68,sparrow,8,0,2023-07-01
287,50,woodpecker,10,1,2023-10-07
288,29,sparrow,8,1,2023-12-01
289,76,woodpecker,10,1,2023-12-14
290,19,sparrow,7,1,2023-12-18
291,84,sparrow,8,0,2023-12-12
292,80,sparrow,8,1,2023-04-24
293,74,hummingbird,10,0,2023-11-27
294,23,woodpecker,8,1,2023-09-22
295,67,woodpecker,7,0,2023-10-02
296,55,sparrow,7,0,2023-10-15
297,42,hummingbird,7,0,2023-03-22
298,49,hummingbird,7,0,2023-09-08
299,51,hummingbird,8,1,2023-03-03
300,57,hummingbird,10,0,2023-06-27
301,35,hummingbird,10,0,2023-03-17
302,19,woodpecker,7,1,2023-06-02
303,44,sparrow,8,0,2023-07-16
304,90,hummingbird,10,1,2023-07-06
305,82,sparrow,8,0,2023-06-04
306,3,huminggbird,7,0,2023-06-22
307,60,woodpecker,10,0,2023-04-27
308,85,spaarow,10,0,2023-09-28
309,51,woodpecker,7,1,2023-02-10
310,35,woodpecker,8,0,2023-05-16
311,85,sparrow,7,1,2023-05-09
312,78,hummingbird,7,0,2023-04-01
313,39,sparrow,8,0,2023-12-21
314,71,woodpecker,7,0,2023-10-13
315,38,woodpecker,7,1,2023-04-10
316,24,hummingbird,8,0,2023-11-17
317,37,huminggbird,8,0,2023-01-15
318,52,woodpecker,8,0,2023-10-28
319,30,woodpecker,10,1,2023-08-02
320,56,woodpecker,10,1,2023-06-01
321,54,hummingbird,7,1,2023-10-15
322,18,woodpecker,10,1,2023-06-10
323,96,hummingbird,7,0,2023-06-04
324,50,sparrow,8,0,2023-01-12
325,64,hummingbird,10,1,2023-12-06
326,72,hummingbird,8,1,2023-07-12
327,73,hummingbird,7,1,2023-01-04
328,49,sparrow,7,1,2023-07-16
329,53,sparrow,8,1,2023-04-03
330,53,woodpecker,10,0,2023-09-17
331,76,sparrow,8,1,2023-03-14
332,8,sparrow,8,0,2023-02-16
333,87,huminggbird,10,0,2023-01-05
334,48,hummingbird,10,0,2023-11-09
335,63,hummingbird,8,1,2023-04-16
336,85,woodpecker,7,1,2023-07-12
337,63,woodpecker,8,0,2023-05-12
338,73,woodpecker,8,0,2023-07-06
339,44,sparrow,8,1,2023-09-26
340,87,sparrow,8,1,2023-05-04
341,99,sparrow,7,0,2023-08-22
342,42,woodpecker,7,1,2023-08-06
343,98,hummingbird,8,0,2023-03-12
344,21,hummingbird,7,1,2023-12-14
345,52,sparrow,10,0,2023-01-12
346,72,sparrow,10,1,2023-12-07
347,56,woodpecker,8,0,2023-02-07
348,39,hummingbird,10,0,2023-05-02
349,63,woodpecker,10,1,2023-03-13
350,55,hummingbird,7,1,2023-07-24
351,48,hummingbird,8,1,2023-06-02
352,81,woodpecker,8,0,2023-03-22
353,56,hummingbird,7,0,2023-04-16
354,72,hummingbird,8,1,2023-11-09
355,63,woodpecker,8,0,2023-02-14
356,34,woodpecker,10,0,2023-08-18
357,25,sparrow,7,0,2023-08-26
358,61,woodpecker,8,0,2023-11-23
359,73,hummingbird,8,1,2023-03-11
360,73,woodpecker,8,1,2023-07-17
361,62,sparrow,10,0,2023-12-24
362,29,hummingbird,10,0,2023-07-05
363,27,hummingbird,8,1,2023-02-04
364,96,woodpecker,7,1,2023-01-05
365,21,sparrow,10,0,2023-03-12
366,91,hummingbird,7,0,2023-09-01
367,77,sparrow,8,0,2023-11-08
368,94,sparrow,10,1,2023-01-22
369,24,woodpecker,10,0,2023-06-14
370,39,hummingbird,7,1,2023-10-24
371,49,woodpecker,8,0,2023-01-14
372,72,woodpecker,7,1,2023-08-10
373,33,hummingbird,8,0,2023-05-16
374,61,sparrow,10,1,2023-02-25
375,85,sparrow,10,1,2023-07-08
376,70,hummingbird,10,1,2023-10-05
377,73,huminggbird,8,0,2023-12-17
378,68,hummingbird,10,0,2023-03-08
379,44,sparrow,7,0,2023-05-25
380,91,sparrow,8,0,2023-02-28
381,54,hummingbird,8,1,2023-05-23
382,91,woodpecker,10,0,2023-04-22
383,37,woodpecker,10,1,2023-07-07
384,77,hummingbird,10,0,2023-08-23
385,53,woodpecker,7,0,2023-02-23
386,29,hummingbird,10,0,2023-12-17
387,70,sparrow,10,1,2023-10-06
388,65,woodpecker,8,1,2023-04-28
389,23,sparrow,10,1,2023-10-21
390,64,woodpecker,8,0,2023-11-05
391,29,sparrow,7,1,2023-04-04
392,27,hummingbird,10,1,2023-03-13
393,71,hummingbird,8,1,2023-01-09
394,24,hummingbird,8,0,2023-04-05
395,26,hummingbird,8,1,2023-07-01
396,43,woodpecker,10,0,2023-10-07
397,80,hummingbird,10,1,2023-02-28
398,62,sparrow,10,1,2023-01-13
399,55,sparrow,7,1,2023-07-17
400,32,woodpecker,7,0,2023-05-23
401,101,sparrow,8,0,2023-11-08
402,50,huminggbird,10,0,2023-04-11
403,85,woodpecker,10,0,2023-07-16
404,40,hummingbird,7,1,2023-01-17
405,50,sparrow,7,0,2023-07-21
406,78,sparrow,7,1,2023-01-10
407,67,sparrow,8,0,2023-02-09
408,78,hummingbird,7,1,2023-06-09
409,103,hummingbird,8,1,2023-06-23
410,73,hummingbird,8,1,2023-07-08
411,104,sparrow,10,1,2023-06-02
412,56,woodpecker,8,1,2023-03-02
413,36,woodpecker,8,1,2023-01-02
414,47,woodpecker,8,1,2023-11-24
415,68,huminggbird,7,1,2023-06-07
416,72,woodpecker,10,0,2023-05-16
417,55,woodpecker,10,1,2023-05-20
418,40,sparrow,8,1,2023-02-14
419,75,sparrow,10,0,2023-03-09
420,62,woodpecker,7,1,2023-08-12
421,44,hummingbird,8,0,2023-06-10
422,51,sparrow,8,1,2023-02-04
423,21,woodpecker,7,0,2023-11-01
424,39,sparrow,10,1,2023-11-18
425,95,sparrow,10,1,2023-03-11
426,61,hummingbird,10,0,2023-06-24
427,70,hummingbird,8,1,2023-06-24
428,101,hummingbird,7,0,2023-10-17
429,24,woodpecker,8,0,2023-10-12
430,99,woodpecker,7,1,2023-04-21
431,77,sparrow,8,1,2023-05-07
432,66,hummingbird,8,1,2023-10-13
433,20,hummingbird,8,1,2023-02-04
434,89,sparrow,8,1,2023-03-21
435,97,woodpecker,7,1,2023-12-20
436,85,woodpecker,8,0,2023-02-02
437,63,woodpecker,7,0,2023-10-21
438,84,sparrow,7,1,2023-04-07
439,23,hummingbird,7,1,2023-12-15
440,51,woodpecker,8,0,2023-02-03
441,84,woodpecker,8,0,2023-09-20
442,47,sparrow,8,0,2023-06-10
443,24,sparrow,8,1,2023-12-16
444,24,woodpecker,7,1,2023-04-18
445,30,hummingbird,7,1,2023-12-05
446,71,hummingbird,10,0,2023-01-05
447,52,sparrow,8,0,2023-04-14
448,67,sparrow,10,1,2023-09-23
449,58,wodopecker,7,1,2023-05-25
450,23,woodpecker,10,1,2023-09-12
451,61,hummingbird,10,0,2023-06-15
452,32,woodpecker,7,0,2023-11-23
453,89,sparrow,7,0,2023-02-14
454,101,sparrow,10,1,2023-02-16
455,56,sparrow,10,1,2023-07-17
456,57,sparrow,7,0,2023-09-26
457,80,wodopecker,8,0,2023-01-06
458,55,hummingbird,10,0,2023-10-09
459,80,hummingbird,10,0,2023-12-05
460,18,hummingbird,8,0,2023-05-02
461,37,sparrow,7,0,2023-10-02
462,22,woodpecker,7,0,2023-12-07
463,18,hummingbird,8,0,2023-12-27
464,21,wodopecker,8,0,2023-07-16
465,94,woodpecker,8,1,2023-11-18
466,50,woodpecker,8,0,2023-09-03
467,77,woodpecker,8,1,2023-03-15
468,54,sparrow,10,0,2023-09-13
469,45,hummingbird,7,0,2023-09-25
470,98,hummingbird,7,1,2023-07-13
471,51,sparrow,10,1,2023-10-09
472,29,hummingbird,8,0,2023-04-06
473,46,hummingbird,7,1,2023-01-06
474,52,sparrow,8,1,2023-10-07
475,77,woodpecker,7,1,2023-10-23
476,22,woodpecker,10,0,2023-01-26
477,59,hummingbird,8,1,2023-09-15
478,55,sparrow,7,1,2023-09-23
479,18,woodpecker,8,0,2023-12-17
480,69,hummingbird,10,0,2023-05-10
481,23,sparrow,8,1,2023-04-10
482,101,sparrow,8,0,2023-12-09
483,49,sparrow,7,0,2023-09-04
484,62,huminggbird,8,0,2023-03-08
485,76,woodpecker,8,1,2023-01-18
486,30,woodpecker,10,1,2023-04-10
487,78,wodopecker,7,0,2023-01-21
488,74,woodpecker,8,0,2023-03-09
489,28,woodpecker,8,1,2023-03-09
490,49,hummingbird,8,1,2023-01-21
491,99,hummingbird,8,0,2023-04-27
492,98,hummingbird,10,0,2023-04-18
493,87,sparrow,7,1,2023-02-01
494,45,sparrow,10,1,2023-11-12
495,50,sparrow,7,0,2023-11-20
496,35,hummingbird,8,1,2023-06-11
497,64,sparrow,8,0,2023-02-23
498,25,sparrow,7,1,2023-09-09
499,103,hummingbird,10,1,2023-12-05
500,61,woodpecker,8,1,2023-07-20
501,21,woodpecker,10,0,2023-05-11
502,39,sparrow,10,0,2023-01-21
503,104,wodopecker,10,0,2023-01-27
504,76,sparrow,8,0,2023-06-08
505,81,sparrow,8,0,2023-12-09
506,82,hummingbird,7,0,2023-03-09
507,91,woodpecker,7,0,2023-01-18
508,32,woodpecker,10,0,2023-11-28
509,83,sparrow,8,0,2023-10-04
510,29,hummingbird,10,0,2023-12-24
511,42,woodpecker,10,1,2023-12-13
512,80,sparrow,10,1,2023-11-09
513,97,sparrow,8,0,2023-11-21
514,95,sparrow,8,1,2023-10-18
515,94,hummingbird,7,1,2023-04-27
516,101,woodpecker,7,1,2023-08-08
517,44,hummingbird,7,0,2023-06-09
518,57,huminggbird,8,1,2023-04-19
519,5,sparrow,10,0,2023-11-26
520,70,sparrow,10,1,2023-07-05
521,105,hummingbird,7,0,2023-08-08
522,39,woodpecker,7,0,2023-12-24
523,78,hummingbird,7,1,2023-07-12
524,25,woodpecker,8,0,2023-03-16
525,87,sparrow,7,1,2023-02-16
526,82,sparrow,8,1,2023-03-15
527,98,sparrow,8,1,2023-03-27
528,55,woodpecker,7,0,2023-03-07
529,68,hummingbird,8,1,2023-10-16
530,76,woodpecker,7,0,2023-12-06
531,26,hummingbird,8,0,2023-11-10
532,99,hummingbird,8,1,2023-01-10
533,48,huminggbird,7,1,2023-03-06
534,71,sparrow,8,1,2023-07-22
535,97,sparrow,10,1,2023-10-07
536,67,sparrow,8,1,2023-02-05
537,91,woodpecker,8,1,2023-02-14
538,73,sparrow,8,1,2023-04-15
539,23,wodopecker,7,0,2023-11-13
540,24,sparrow,8,1,2023-02-24
541,30,sparrow,10,0,2023-09-05
542,29,hummingbird,7,1,2023-12-25
543,48,woodpecker,8,0,2023-01-20
544,51,woodpecker,10,0,2023-02-13
545,62,woodpecker,7,0,2023-07-01
546,87,sparrow,7,1,2023-02-27
547,37,hummingbird,7,1,2023-01-25
548,53,woodpecker,7,1,2023-11-02
549,66,hummingbird,8,0,2023-03-08
550,87,sparrow,10,0,2023-02-09
551,63,sparrow,8,0,2023-03-21
552,81,woodpecker,10,0,2023-10-01
553,45,hummingbird,8,1,2023-01-26
554,99,hummingbird,10,0,2023-02-18
555,68,woodpecker,8,1,2023-12-27
556,36,woodpecker,10,1,2023-06-28
557,75,woodpecker,7,0,2023-12-03
558,72,hummingbird,7,0,2023-04-05
559,59,hummingbird,8,1,2023-08-25
560,41,sparrow,7,1,2023-10-15
561,92,woodpecker,10,0,2023-03-10
562,20,sparrow,7,0,2023-06-16
563,34,sparrow,7,1,2023-03-08
564,18,woodpecker,8,0,2023-01-18
565,23,hummingbird,10,1,2023-12-09
566,59,spaarow,10,1,2023-11-18
567,64,woodpecker,10,0,2023-02-01
568,67,sparrow,7,0,2023-01-04
569,29,woodpecker,10,0,2023-09-10
570,62,hummingbird,7,0,2023-02-17
571,25,sparrow,7,1,2023-07-05
572,78,hummingbird,8,1,2023-01-08
573,48,hummingbird,7,1,2023-01-08
574,64,sparrow,7,0,2023-07-13
575,93,sparrow,10,1,2023-03-12
576,39,hummingbird,7,1,2023-11-10
577,94,sparrow,7,0,2023-04-22
578,31,woodpecker,7,0,2023-07-22
579,97,sparrow,10,0,2023-12-27
580,95,sparrow,7,0,2023-02-16
581,102,woodpecker,8,0,2023-03-04
582,27,sparrow,10,1,2023-04-04
583,86,hummingbird,7,0,2023-05-12
584,80,woodpecker,7,0,2023-02-20
585,89,sparrow,7,0,2023-06-04
586,35,sparrow,10,1,2023-06-03
587,60,hummingbird,8,0,2023-01-20
588,52,woodpecker,10,0,2023-03-06
589,79,hummingbird,7,0,2023-07-17
590,32,woodpecker,10,1,2023-06-20
591,87,sparrow,10,1,2023-03-22
592,85,woodpecker,7,0,2023-07-05
593,59,woodpecker,8,0,2023-11-22
594,68,sparrow,10,0,2023-05-20
595,105,sparrow,7,1,2023-05-12
596,32,sparrow,10,0,2023-02-09
597,63,sparrow,10,1,2023-08-22
598,64,wodopecker,10,0,2023-06-09
599,39,sparrow,7,0,2023-12-26
600,44,woodpecker,7,1,2023-02-26
601,77,sparrow,8,1,2023-01-28
602,90,sparrow,8,0,2023-03-25
603,36,woodpecker,7,0,2023-11-05
604,104,sparrow,8,1,2023-06-05
605,57,woodpecker,7,0,2023-07-15
606,102,hummingbird,7,1,2023-12-26
607,32,hummingbird,8,0,2023-08-27
608,90,hummingbird,10,0,2023-02-04
609,38,woodpecker,7,0,2023-10-14
610,44,sparrow,10,0,2023-12-09
611,66,sparrow,10,1,2023-03-03
612,52,woodpecker,7,0,2023-06-05
613,83,sparrow,8,0,2023-03-25
614,75,sparrow,10,1,2023-07-12
615,22,wodopecker,10,1,2023-06-16
616,25,woodpecker,8,1,2023-07-16
617,47,hummingbird,8,1,2023-12-14
618,77,woodpecker,10,1,2023-10-26
619,87,hummingbird,7,1,2023-11-11
620,42,sparrow,8,1,2023-03-26
621,43,sparrow,7,1,2023-11-08
622,6,hummingbird,7,1,2023-07-14
623,100,wodopecker,7,0,2023-09-16
624,67,sparrow,10,1,2023-09-18
625,91,woodpecker,8,1,2023-08-18
626,83,hummingbird,8,0,2023-09-27
627,89,sparrow,8,0,2023-04-13
628,38,sparrow,7,0,2023-02-19
629,78,woodpecker,8,0,2023-12-14
630,78,sparrow,7,0,2023-09-19
631,88,hummingbird,8,0,2023-12-26
632,69,woodpecker,7,0,2023-12-08
633,31,hummingbird,7,0,2023-12-03
634,96,hummingbird,8,0,2023-04-12
635,80,woodpecker,8,0,2023-01-07
636,104,huminggbird,10,1,2023-01-12
637,18,woodpecker,7,0,2023-09-16
638,89,hummingbird,10,1,2023-03-04
639,92,spaarow,7,1,2023-01-12
640,70,woodpecker,8,1,2023-06-28
641,67,huminggbird,10,1,2023-03-10
642,37,sparrow,7,0,2023-08-05
643,43,sparrow,8,1,2023-09-14
644,83,woodpecker,10,0,2023-04-07
645,21,woodpecker,10,1,2023-04-02
646,74,sparrow,10,0,2023-12-05
647,47,hummingbird,7,0,2023-02-23
648,72,woodpecker,7,0,2023-12-05
649,21,woodpecker,8,0,2023-07-24
650,22,hummingbird,8,0,2023-01-23
651,30,sparrow,8,0,2023-07-12
652,84,hummingbird,8,0,2023-01-23
653,70,woodpecker,8,0,2023-02-22
654,91,hummingbird,8,0,2023-10-03
655,48,sparrow,8,1,2023-08-27
656,96,sparrow,7,0,2023-10-28
657,40,sparrow,7,0,2023-03-01
658,83,woodpecker,10,0,2023-03-12
659,103,sparrow,10,0,2023-03-03
660,61,woodpecker,7,1,2023-04-03
661,61,hummingbird,10,0,2023-01-19
662,75,hummingbird,8,1,2023-07-05
663,24,sparrow,10,1,2023-03-16
664,91,sparrow,7,1,2023-12-05
665,77,woodpecker,10,0,2023-12-17
666,28,hummingbird,10,0,2023-12-10
667,40,huminggbird,10,0,2023-08-14
668,70,huminggbird,8,0,2023-12-11
669,75,woodpecker,8,0,2023-08-26
670,25,hummingbird,8,1,2023-11-23
671,65,hummingbird,7,0,2023-01-10
672,28,hummingbird,7,1,2023-02-05
673,43,woodpecker,10,0,2023-01-21
674,82,hummingbird,10,1,2023-01-20
